,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
0,Data Analytics and Insights Associate,CA,,,0,0,0,1,0,0
1,Data Engineer II,CA,,,1,0,0,1,0,0
2,"Group Manager, Technical Data Science",CA,186000.0,285000.0,1,0,0,1,0,0
3,Senior Data Scientist,CA,,,0,0,0,0,0,0
4,App Store & Arcade Marketing Data Scientist,CA,,,1,0,0,1,0,0
5,Research Data Analyst 2 (2 Years Fixed Term),CA,63000.0,112000.0,1,0,0,1,0,0
6,Data Engineering Manager (San Diego),CA,,,0,0,0,1,0,0
7,"AIML - Sr ML Engineer, Data and ML Innovation",CA,,,1,0,0,0,0,0
8,"Staff Data Scientist, Growth",CA,206000.0,275500.0,1,0,0,1,0,0
9,Senior Data Analyst,CA,,,0,0,0,1,0,0
10,"Senior Product Data Analyst, Core",CA,108000.0,227000.0,0,0,0,1,0,0
11,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",CA,123626.0,256500.0,1,0,0,1,0,0
12,"Senior Data Scientist, Quant Modeling",CA,132889.0,236800.0,1,0,0,1,0,0
13,SVP of Insights and Analysis,CA,196000.0,250000.0,1,0,0,1,0,0
14,Senior Health Data Analyst I,CA,87321.0,126619.0,0,0,0,1,0,0
15,"Senior Director, Data Science",CA,,,0,0,0,0,0,0
16,Model Risk Analyst II - Hybrid,IN,,,1,0,0,0,0,0
17,Assistant or Associate Professor of Biostatistics,IN,,,0,0,0,0,0,0
18,Labs - Data Scientist - Senior Associate,AR,,,1,1,1,1,1,0
19,Data Analyst,WA,95000.0,110000.0,0,0,0,1,0,0
20,Senior Data Analyst,VA,,,1,0,0,1,0,0
21,Data Scientist | Clearance Required,VA,,,1,1,0,1,0,0
22,Senior Data Scientist,VA,170000.0,195000.0,1,0,0,1,0,1
23,Data Engineer Analyst,WA,115000.0,160000.0,1,1,0,1,0,0
24,Data Scientist,VA,,,1,0,0,0,0,0
25,Data Scientist Senior Technical Specialist,VA,118515.0,284791.0,1,1,0,0,0,0
26,Data Science Fellow,MD,,,1,1,1,1,1,0
27,"Associate Director, Data Science - Office of Advancement",WA,,,1,0,0,1,0,0
28,Sr. AI & ML Data Scientist - Top Secret Required,VA,,,1,0,0,1,0,0
