,Unnamed: 0,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
0,0,Data Analytics and Insights Associate,CA,127314.60010548335,60228.27360506393,0,0,0,1,0,0
1,1,Data Engineer II,CA,133134.0566129603,60068.08864281982,1,0,0,1,0,0
2,2,"Group Manager, Technical Data Science",CA,186000.0,285000.0,1,0,0,1,0,0
3,3,Senior Data Scientist,CA,77376.00007391369,115345.30375978875,0,0,0,0,0,0
4,4,App Store & Arcade Marketing Data Scientist,CA,46255.7772299,19091.943201004797,1,0,0,1,0,0
5,5,Research Data Analyst 2 (2 Years Fixed Term),CA,63000.0,112000.0,1,0,0,1,0,0
6,6,Data Engineering Manager (San Diego),CA,78312.30217294542,91621.7025223373,0,0,0,1,0,0
7,7,"AIML - Sr ML Engineer, Data and ML Innovation",CA,102920.91291155844,1256.473657231254,1,0,0,0,0,0
8,8,"Staff Data Scientist, Growth",CA,206000.0,275500.0,1,0,0,1,0,0
9,9,Senior Data Analyst,CA,94233.80039467994,40532.08463571295,0,0,0,1,0,0
10,10,"Senior Product Data Analyst, Core",CA,108000.0,227000.0,0,0,0,1,0,0
11,11,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",CA,123626.0,256500.0,1,0,0,1,0,0
12,12,"Senior Data Scientist, Quant Modeling",CA,132889.0,236800.0,1,0,0,1,0,0
13,13,SVP of Insights and Analysis,CA,196000.0,250000.0,1,0,0,1,0,0
14,14,Senior Health Data Analyst I,CA,87321.0,126619.0,0,0,0,1,0,0
15,15,"Senior Director, Data Science",CA,136747.116637623,133670.27501590224,0,0,0,0,0,0
16,16,Model Risk Analyst II - Hybrid,IN,86367.53230694646,24461.276559963855,1,0,0,0,0,0
17,17,Assistant or Associate Professor of Biostatistics,IN,63347.41399459537,101490.5192244247,0,0,0,0,0,0
18,18,Labs - Data Scientist - Senior Associate,AR,127043.20673599976,98855.35709136914,1,1,1,1,1,0
19,19,Data Analyst,WA,95000.0,110000.0,0,0,0,1,0,0
20,20,Senior Data Analyst,VA,132359.43532916784,-40842.265788778524,1,0,0,1,0,0
21,21,Data Scientist | Clearance Required,VA,139050.93535565597,68304.86831585456,1,1,0,1,0,0
22,22,Senior Data Scientist,VA,170000.0,195000.0,1,0,0,1,0,1
23,23,Data Engineer Analyst,WA,115000.0,160000.0,1,1,0,1,0,0
24,24,Data Scientist,VA,112980.25985812375,-23227.82187189474,1,0,0,0,0,0
25,25,Data Scientist Senior Technical Specialist,VA,118515.0,284791.0,1,1,0,0,0,0
26,26,Data Science Fellow,MD,92363.14849960608,86482.95075006744,1,1,1,1,1,0
27,27,"Associate Director, Data Science - Office of Advancement",WA,89254.73282542052,-6562.453020764013,1,0,0,1,0,0
28,28,Sr. AI & ML Data Scientist - Top Secret Required,VA,105679.70305958556,67290.11950101248,1,0,0,1,0,0
29,29,Data Analysis and Visualization Consultant,VA,69584.4011491457,80858.67148082165,0,0,0,0,0,0
30,30,Senior Data Engineer,VA,116732.92554797696,5742.854087220694,1,0,0,0,0,0
31,31,Data Scientist (Active TS/SCI w/Poly),VA,126889.19058139717,-12406.03064057252,1,0,0,1,0,0
32,32,Data Scientist/Statistician II - Intel,WA,172042.01762600825,107864.39434198989,0,0,0,0,0,0
33,33,Junior Data Scientist,WA,190625.36582894064,36080.95618994489,1,0,0,1,0,0
34,34,Sr Data Analyst,TX,137908.536820866,-46875.90851542539,1,0,0,0,0,0
35,35,Senior Data Analyst,TX,130022.05731758135,104500.8615190365,1,0,0,1,0,0
36,36,Python developer / Data Scientist,TX,113930.7655757346,87420.1742247979,1,0,0,0,0,0
37,37,Engineer Data & Analytics,TX,157004.91801822363,-35922.05495108384,1,1,0,1,0,0
38,38,Data Engineer with Machine Learning-Full Time,TX,120000.0,6914.361205406538,1,0,0,0,0,0
39,39,"DATA SCIENCE ANALYST, Public Health",TX,58464.45975887233,-3606.5600059323697,1,0,0,0,0,0
40,40,Director of Data Science & Analytics,TX,90812.90900173494,48103.08064174668,1,0,0,1,0,0
41,41,Architect - Data Engineering,TX,174374.53256184357,114564.23634088834,1,1,1,1,0,0
42,42,Architect - Data Engineering,TX,155920.15551012885,-58367.83105165416,1,1,1,1,0,0
43,43,Statistician (part-time),TX,49920.0,8320.0,0,0,0,0,0,0
44,44,Manager of Data Science & Forecasting Analytics,TX,148361.29651210218,43486.55010405177,0,0,0,0,0,0
45,45,Conversational AI Platform - Senior Software Engineer,TX,57781.46027421088,-24130.422091539578,1,0,0,0,0,0
46,46,"Assistant/Associate Professor (NTI), Biostatistics and Data Science (BaDS) - School of Public Health",TX,168230.3961874245,-24358.19763706957,1,0,0,1,0,0
47,47,Malware Analyst Level 2,TX,95638.82942263478,126728.30635493001,1,0,1,0,0,0
48,48,Artificial Intelligence Business Development Leader - SFL Scientific,TX,128938.17080323622,61496.53792651272,0,0,0,0,0,0
49,49,Data Analytics Engineer,MO,98864.90017826861,153971.93968305737,1,1,0,1,0,0
50,50,Senior Community Data Analyst-Southern Region,MO,174303.39481546075,12404.24213329664,1,0,0,0,0,0
51,51,"Senior Data Scientist (On-Site in Wichita, KS)",KS,129309.72588651787,10959.980804269631,1,0,0,1,0,0
52,52,"Research Computing Facilitator, Data Assimilation",VT,131080.99222524435,-22080.91834261803,1,0,0,0,0,1
53,53,Data Scientist,FL,90000.0,135000.0,1,0,0,0,0,1
54,54,Senior Data Analyst,FL,177386.61851496866,159156.82556255543,1,0,0,1,0,0
55,55,Performance Data Analyst,FL,75715.0666045837,-93930.03625924935,0,0,0,0,0,0
56,56,PLANNING ANALYST I or II,FL,89735.59304018982,9010.7041406598,0,0,0,0,0,0
57,57,Senior Machine Learning Engineer,FL,150000.0,200000.0,1,0,0,1,0,0
58,58,"Project Manager, Research Support - Data Science",FL,110436.54514456373,43071.06383865542,0,0,0,0,0,0
59,59,Data Engineer (AWS),MD,100000.0,120000.0,0,0,0,1,0,0
60,60,Data Scientist 2,MD,134943.2416770815,128828.58539796743,1,0,0,1,0,0
61,61,Mathematical and Statistical Modeling Researcher,MD,54080.0,74390.0,0,0,0,0,0,0
62,62,Senior Backend Engineer (AI Startup),MD,120000.0,180000.0,0,0,0,0,0,0
63,63,"Senior Backend Engineer, AI",MD,150000.0,190000.0,0,0,0,0,0,0
64,64,Software Engineer Level 2 (SWE2)-7343,MD,84155.8475710177,115327.37881224224,1,1,0,1,0,1
65,65,Full Stack AI Software Developer,MD,101137.0932899586,134910.27422000325,1,1,1,1,0,0
66,66,Exploitation Analyst Level 4,MD,153208.96959351766,24864.24321823807,0,0,0,0,0,0
67,67,Senior Lead Marketing Analyst,MD,130840.52332009183,301.72603850113956,1,0,0,0,0,0
68,68,Data Analyst III (REMOTE),WY,86424.9793469732,73314.66711475677,1,0,0,1,0,0
